ID,Class,Top5 평균 유사도
TRAIN_056,A,0.9199999999999999
TRAIN_057,A,0.9066666666666666
TRAIN_058,C,0.7466666666666667
TRAIN_059,C,0.76
TRAIN_060,B,0.7866666666666667
TRAIN_061,A,0.8533333333333333
TRAIN_062,C,0.6666666666666666
TRAIN_063,C,0.8
TRAIN_064,A,0.8666666666666668
TRAIN_065,C,0.6933333333333332
TRAIN_066,C,0.8
TRAIN_067,A,0.9199999999999999
TRAIN_068,B,0.8133333333333332
TRAIN_069,C,0.7333333333333333
TRAIN_070,C,0.8
TRAIN_071,C,0.7866666666666667
TRAIN_072,A,0.8266666666666665
TRAIN_073,B,0.72
TRAIN_074,B,0.8
TRAIN_075,B,0.76
TRAIN_076,C,0.6
TRAIN_077,B,0.8666666666666668
TRAIN_078,C,0.8
TRAIN_079,A,0.8933333333333333
TRAIN_080,B,0.8133333333333332
TRAIN_081,B,0.76
TRAIN_082,C,0.7066666666666666
TRAIN_083,A,0.8800000000000001
TRAIN_084,C,0.76
TRAIN_085,A,0.7733333333333333
TRAIN_086,C,0.6933333333333332
TRAIN_087,C,0.8133333333333332
TRAIN_088,C,0.7466666666666667
TRAIN_089,B,0.8
TRAIN_090,B,0.7333333333333333
TRAIN_091,B,0.8133333333333332
TRAIN_092,C,0.7866666666666667
TRAIN_093,C,0.8266666666666665
TRAIN_094,B,0.8533333333333333
TRAIN_095,B,0.8
TRAIN_096,C,0.6799999999999999
TRAIN_097,A,0.76
TRAIN_098,A,0.7466666666666667
TRAIN_099,B,0.72
TRAIN_100,A,0.8933333333333333
TRAIN_101,B,0.7866666666666667
TRAIN_102,A,0.7333333333333332
TRAIN_103,B,0.8533333333333333
TRAIN_104,A,0.8800000000000001
TRAIN_105,B,0.76
TRAIN_106,A,0.7866666666666667
TRAIN_107,B,0.7333333333333333
TRAIN_108,B,0.7466666666666667
TRAIN_109,C,0.7066666666666666
TRAIN_110,B,0.8133333333333332
TRAIN_111,B,0.7866666666666667
TRAIN_112,B,0.7466666666666667
TRAIN_113,B,0.8
TRAIN_114,B,0.8400000000000001
TRAIN_115,B,0.8400000000000001
TRAIN_116,B,0.8
TRAIN_117,A,0.8800000000000001
TRAIN_118,C,0.7066666666666666
TRAIN_119,C,0.7333333333333333
TRAIN_120,B,0.7866666666666667
TRAIN_121,B,0.8400000000000001
TRAIN_122,C,0.76
TRAIN_123,A,0.8400000000000001
TRAIN_124,A,0.8133333333333332
TRAIN_125,B,0.8266666666666668
TRAIN_126,B,0.8133333333333332
TRAIN_127,A,0.8933333333333333
TRAIN_128,C,0.7733333333333334
TRAIN_129,C,0.7866666666666667
TRAIN_130,C,0.7733333333333334
TRAIN_131,A,0.8133333333333332
TRAIN_132,B,0.7866666666666667
TRAIN_133,C,0.7466666666666667
TRAIN_134,A,0.8933333333333333
TRAIN_135,B,0.7733333333333334
TRAIN_136,C,0.7733333333333333
TRAIN_137,A,0.8133333333333332
TRAIN_138,C,0.76
TRAIN_139,B,0.8266666666666668
TRAIN_140,B,0.8400000000000001
TRAIN_141,C,0.7466666666666667
TRAIN_142,C,0.8133333333333332
TRAIN_143,B,0.7733333333333334
TRAIN_144,B,0.8400000000000001
TRAIN_145,B,0.7466666666666667
TRAIN_146,C,0.76
TRAIN_147,C,0.7466666666666666
TRAIN_148,A,0.7466666666666666
TRAIN_149,B,0.8
TRAIN_150,A,0.8799999999999999
TRAIN_151,C,0.7866666666666667
TRAIN_152,C,0.8133333333333332
TRAIN_153,C,0.7466666666666667
TRAIN_154,B,0.76
TRAIN_155,A,0.8
TRAIN_156,B,0.8266666666666665
TRAIN_157,B,0.7466666666666667
TRAIN_158,B,0.76
TRAIN_159,B,0.8
TRAIN_160,B,0.7466666666666667
TRAIN_161,A,0.76
TRAIN_162,B,0.8133333333333332
TRAIN_163,C,0.72
TRAIN_164,B,0.8133333333333332
TRAIN_165,B,0.7333333333333333
TRAIN_166,B,0.8
TRAIN_167,A,0.8533333333333333
TRAIN_168,A,0.8533333333333333
TRAIN_169,C,0.8133333333333332
TRAIN_170,C,0.6933333333333332
TRAIN_171,A,0.8800000000000001
TRAIN_172,A,0.7866666666666667
TRAIN_173,C,0.7466666666666667
TRAIN_174,C,0.8
TRAIN_175,C,0.7866666666666667
TRAIN_176,C,0.8133333333333332
TRAIN_177,A,0.9066666666666666
TRAIN_178,C,0.7466666666666667
TRAIN_179,A,0.76
TRAIN_180,A,0.8
TRAIN_181,C,0.6666666666666667
TRAIN_182,A,0.7866666666666667
TRAIN_183,C,0.7333333333333333
TRAIN_184,C,0.6266666666666667
TRAIN_185,B,0.7466666666666667
TRAIN_186,B,0.8133333333333332
TRAIN_187,C,0.7733333333333334
TRAIN_188,B,0.76
TRAIN_189,C,0.8133333333333332
TRAIN_190,C,0.7066666666666666
TRAIN_191,B,0.8133333333333332
TRAIN_192,B,0.7733333333333334
TRAIN_193,B,0.8266666666666665
TRAIN_194,A,0.9066666666666666
TRAIN_195,B,0.8
TRAIN_196,B,0.7066666666666666
TRAIN_197,C,0.7066666666666666
TRAIN_198,B,0.8133333333333332
TRAIN_199,C,0.7866666666666667
TRAIN_200,A,0.8
TRAIN_201,B,0.6799999999999999
TRAIN_202,A,0.8800000000000001
TRAIN_203,B,0.76
TRAIN_204,A,0.8933333333333333
TRAIN_205,C,0.7333333333333333
TRAIN_206,C,0.8
TRAIN_207,B,0.8266666666666668
TRAIN_208,C,0.76
TRAIN_209,B,0.7466666666666667
TRAIN_210,C,0.76
TRAIN_211,B,0.8133333333333332
TRAIN_212,A,0.7066666666666666
TRAIN_213,A,0.8800000000000001
TRAIN_214,B,0.8400000000000001
TRAIN_215,C,0.76
TRAIN_216,A,0.8933333333333333
TRAIN_217,A,0.8
TRAIN_218,C,0.7466666666666667
TRAIN_219,B,0.7866666666666667
TRAIN_220,A,0.9066666666666666
TRAIN_221,B,0.7866666666666667
TRAIN_222,B,0.8133333333333332
TRAIN_223,B,0.8400000000000001
TRAIN_224,A,0.7866666666666666
TRAIN_225,B,0.6933333333333332
TRAIN_226,B,0.7866666666666667
TRAIN_227,B,0.76
TRAIN_228,B,0.8133333333333332
TRAIN_229,A,0.9066666666666666
TRAIN_230,C,0.7066666666666666
TRAIN_231,C,0.7866666666666667
TRAIN_232,B,0.6799999999999999
TRAIN_233,C,0.72
TRAIN_234,B,0.76
TRAIN_235,C,0.76
TRAIN_236,B,0.7466666666666667
TRAIN_237,A,0.9199999999999999
TRAIN_238,C,0.8
TRAIN_239,A,0.8133333333333332
TRAIN_240,A,0.9066666666666666
TRAIN_241,C,0.7466666666666667
TRAIN_242,C,0.8
TRAIN_243,B,0.7733333333333334
TRAIN_244,B,0.8400000000000001
TRAIN_245,B,0.7866666666666667
TRAIN_246,A,0.8800000000000001
TRAIN_247,B,0.7733333333333333
TRAIN_248,A,0.8533333333333333
TRAIN_249,B,0.7733333333333333
TRAIN_250,A,0.8800000000000001
TRAIN_251,C,0.76
TRAIN_252,B,0.8400000000000001
TRAIN_253,A,0.76
TRAIN_254,B,0.8133333333333332
TRAIN_255,B,0.76
TRAIN_256,B,0.8
TRAIN_257,B,0.7733333333333334
TRAIN_258,C,0.8
TRAIN_259,A,0.8
TRAIN_260,A,0.8400000000000001
TRAIN_261,B,0.7333333333333333
